run_id,split_protocol,seed,best_reconstruction_variant,best_reconstruction_metric,best_reconstruction_score,validation_selected_latent_variant,validation_selected_val_macro_f1,validation_selected_test_macro_f1,test_posthoc_best_latent_variant,test_posthoc_best_test_macro_f1,validation_selected_equals_test_posthoc_best,reconstruction_best_equals_validation_selected,reconstruction_best_equals_test_posthoc_best,spearman_recon_mse_vs_test_macro_f1,spearman_recon_last_step_mse_vs_test_macro_f1,rank_mismatch_status,rank_mismatch_interpretation
chronological_purged,chronological_purged,0,pca@128,test_recon_normalized_mse,0.18367122113704681,last_snapshot_repeat@40,0.5503415026747916,0.4318430006220933,last_snapshot_repeat@40,0.4318430006220933,True,False,False,0.5,-1.0,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
chronological_no_purge,chronological_no_purge,0,pca@128,test_recon_normalized_mse,0.18367122113704681,last_snapshot_repeat@40,0.5503415026747916,0.4318430006220933,last_snapshot_repeat@40,0.4318430006220933,True,False,False,0.5,-1.0,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_window_naive_seed42,random_window_naive,42,pca@128,test_recon_normalized_mse,0.085333451628685,last_snapshot_repeat@40,0.48666679738810176,0.4958925037923407,last_snapshot_repeat@40,0.4958925037923407,True,False,False,0.5,-1.0,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_block_purged_seed42,random_block_purged,42,pca@128,test_recon_normalized_mse,0.10883050411939621,last_snapshot_repeat@40,0.3545452657506158,0.5262603821151481,last_snapshot_repeat@40,0.5262603821151481,True,False,False,1.0,-0.5,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_window_naive_seed43,random_window_naive,43,pca@128,test_recon_normalized_mse,0.07935267686843872,last_snapshot_repeat@40,0.48759421653272156,0.5134438976975882,last_snapshot_repeat@40,0.5134438976975882,True,False,False,0.5,-1.0,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_block_purged_seed43,random_block_purged,43,pca@128,test_recon_normalized_mse,0.056180667132139206,last_snapshot_repeat@40,0.4019612563596386,0.42412535412899977,last_snapshot_repeat@40,0.42412535412899977,True,False,False,1.0,-0.5,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_window_naive_seed44,random_window_naive,44,pca@128,test_recon_normalized_mse,0.0875750482082367,last_snapshot_repeat@40,0.463600836300966,0.4900375936139079,last_snapshot_repeat@40,0.4900375936139079,True,False,False,0.5,-1.0,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_block_purged_seed44,random_block_purged,44,pca@128,test_recon_normalized_mse,0.10717670619487762,last_snapshot_repeat@40,0.504297370675813,0.4281950536445431,last_snapshot_repeat@40,0.4281950536445431,True,False,False,1.0,-0.5,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_window_naive_seed45,random_window_naive,45,pca@128,test_recon_normalized_mse,0.07136405259370804,last_snapshot_repeat@40,0.49601193827531875,0.48423211094105173,last_snapshot_repeat@40,0.48423211094105173,True,False,False,0.5,-1.0,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_block_purged_seed45,random_block_purged,45,pca@128,test_recon_normalized_mse,0.0460302010178566,last_snapshot_repeat@40,0.421022518173487,0.41581411455534106,last_snapshot_repeat@40,0.41581411455534106,True,False,False,1.0,-0.5,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_window_naive_seed46,random_window_naive,46,pca@128,test_recon_normalized_mse,0.07940058410167694,last_snapshot_repeat@40,0.4815013071426903,0.5040079173888469,last_snapshot_repeat@40,0.5040079173888469,True,False,False,1.0,-0.5,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
random_block_purged_seed46,random_block_purged,46,pca@128,test_recon_normalized_mse,0.09576937556266785,last_snapshot_repeat@40,0.531052930179074,0.43418888776245607,last_snapshot_repeat@40,0.43418888776245607,True,False,False,0.5,-1.0,prediction_selection_stable_reconstruction_mismatch,"validation and test select the same prediction variant, but reconstruction-best differs"
