model,model_variant,latent_dim,split,level,side,field_type,normalized_mse,normalized_mae,original_mae
train_mean_window,train_mean_window,,train,1,bid,price,1.0,0.1392685770988464,0.0125430980697274
train_mean_window,train_mean_window,,train,1,ask,price,1.0,0.1399603337049484,0.0126212071627378
train_mean_window,train_mean_window,,train,1,bid,volume,1.0,0.5618926882743835,0.7551253437995911
train_mean_window,train_mean_window,,train,1,ask,volume,1.0,0.8150187134742737,0.2725571393966675
train_mean_window,train_mean_window,,train,2,bid,price,1.0000001192092896,0.2074485868215561,0.0825824812054634
train_mean_window,train_mean_window,,train,2,ask,price,1.0,0.2074483036994934,0.0828533172607421
train_mean_window,train_mean_window,,train,2,bid,volume,1.0,0.6851611733436584,1.2452263832092283
train_mean_window,train_mean_window,,train,2,ask,volume,1.0,0.8151133060455322,0.2314288020133972
train_mean_window,train_mean_window,,train,3,bid,price,1.0,0.2074483335018158,0.0824929624795913
train_mean_window,train_mean_window,,train,3,ask,price,1.0,0.207448735833168,0.0829429104924202
train_mean_window,train_mean_window,,train,3,bid,volume,1.0,0.7673364281654358,1.3662391901016235
train_mean_window,train_mean_window,,train,3,ask,volume,1.0,0.806224524974823,0.2434073984622955
train_mean_window,train_mean_window,,train,4,bid,price,1.0000001192092896,0.2074478566646576,0.0824033468961715
train_mean_window,train_mean_window,,train,4,ask,price,1.0,0.2074490189552307,0.0830324366688728
train_mean_window,train_mean_window,,train,4,bid,volume,1.0,0.7655512094497681,1.210186243057251
train_mean_window,train_mean_window,,train,4,ask,volume,1.0,0.795892059803009,0.2555257678031921
train_mean_window,train_mean_window,,train,5,bid,price,1.0,0.2074475884437561,0.0823138281702995
train_mean_window,train_mean_window,,train,5,ask,price,1.0,0.2074494957923889,0.083122044801712
train_mean_window,train_mean_window,,train,5,bid,volume,1.0,0.7424165606498718,0.980738639831543
train_mean_window,train_mean_window,,train,5,ask,volume,1.0,0.7959475517272949,0.259332925081253
train_mean_window,train_mean_window,,train,6,bid,price,1.0,0.207447275519371,0.0822242870926857
train_mean_window,train_mean_window,,train,6,ask,price,1.0,0.2074498385190963,0.0832116082310676
train_mean_window,train_mean_window,,train,6,bid,volume,1.0,0.8263167142868042,0.6644831895828247
train_mean_window,train_mean_window,,train,6,ask,volume,1.0,0.7799929976463318,0.2783579230308532
train_mean_window,train_mean_window,,train,7,bid,price,1.000000238418579,0.2074465751647949,0.0821345821022987
train_mean_window,train_mean_window,,train,7,ask,price,0.9999998807907104,0.2074500173330307,0.0833010897040367
train_mean_window,train_mean_window,,train,7,bid,volume,1.0,0.8186315894126892,0.5438358187675476
train_mean_window,train_mean_window,,train,7,ask,volume,1.0,0.8295261263847351,0.324601948261261
train_mean_window,train_mean_window,,train,8,bid,price,1.0,0.2074465751647949,0.0820451900362968
train_mean_window,train_mean_window,,train,8,ask,price,1.0,0.2074502855539322,0.0833906084299087
train_mean_window,train_mean_window,,train,8,bid,volume,1.0,0.732844889163971,0.4443449676036834
train_mean_window,train_mean_window,,train,8,ask,volume,1.0,0.8197130560874939,0.3150061368942261
train_mean_window,train_mean_window,,train,9,bid,price,1.0000001192092896,0.2074462622404098,0.0819556415081024
train_mean_window,train_mean_window,,train,9,ask,price,1.0,0.207450732588768,0.0834802165627479
train_mean_window,train_mean_window,,train,9,bid,volume,1.0,0.7372867465019226,0.3611039519309997
train_mean_window,train_mean_window,,train,9,ask,volume,1.0,0.7039714455604553,0.3184102177619934
train_mean_window,train_mean_window,,train,10,bid,price,1.0,0.2074457705020904,0.0818660333752632
train_mean_window,train_mean_window,,train,10,ask,price,0.9999998807907104,0.2074508517980575,0.0835696831345558
train_mean_window,train_mean_window,,train,10,bid,volume,1.0,0.7968710064888,0.3370932936668396
train_mean_window,train_mean_window,,train,10,ask,volume,1.0,0.7219154238700867,0.2622897922992706
train_mean_window,train_mean_window,,val,1,bid,price,0.0169797148555517,0.1138653010129928,0.0102552715688943
train_mean_window,train_mean_window,,val,1,ask,price,0.0165351647883653,0.1110417321324348,0.0100135132670402
train_mean_window,train_mean_window,,val,1,bid,volume,0.1594596803188324,0.3428066968917846,0.4606964886188507
train_mean_window,train_mean_window,,val,1,ask,volume,0.7490113377571106,0.7099580764770508,0.2374199032783508
train_mean_window,train_mean_window,,val,2,bid,price,0.0142648927867412,0.1171066537499427,0.0466186180710792
train_mean_window,train_mean_window,,val,2,ask,price,0.0143203390762209,0.1175749823451042,0.0469586253166198
train_mean_window,train_mean_window,,val,2,bid,volume,0.3037306070327759,0.525104284286499,0.9543356895446776
train_mean_window,train_mean_window,,val,2,ask,volume,1.6647382974624634,1.0469521284103394,0.297250896692276
train_mean_window,train_mean_window,,val,3,bid,price,0.0142691805958747,0.1171198636293411,0.0465733930468559
train_mean_window,train_mean_window,,val,3,ask,price,0.014316109009087,0.1175615414977073,0.0470039322972297
train_mean_window,train_mean_window,,val,3,bid,volume,0.4188956320285797,0.620829164981842,1.1053739786148071
train_mean_window,train_mean_window,,val,3,ask,volume,1.118669033050537,0.7735770344734192,0.2335446923971176
train_mean_window,train_mean_window,,val,4,bid,price,0.014273420907557,0.1171328499913215,0.0465280674397945
train_mean_window,train_mean_window,,val,4,ask,price,0.0143118519335985,0.1175479814410209,0.0470491684973239
train_mean_window,train_mean_window,,val,4,bid,volume,0.426926702260971,0.6179187893867493,0.9767979383468628
train_mean_window,train_mean_window,,val,4,ask,volume,0.6802533864974976,0.7914339303970337,0.2540640234947204
train_mean_window,train_mean_window,,val,5,bid,price,0.0142777236178517,0.1171460598707199,0.04648282751441
train_mean_window,train_mean_window,,val,5,ask,price,0.0143076740205287,0.117534726858139,0.047094527631998
train_mean_window,train_mean_window,,val,5,bid,volume,0.3744828104972839,0.5447363257408142,0.7196077704429626
train_mean_window,train_mean_window,,val,5,ask,volume,0.7520214915275574,0.7774807810783386,0.2533063292503357
train_mean_window,train_mean_window,,val,6,bid,price,0.0142820086330175,0.1171592101454734,0.0464375503361225
train_mean_window,train_mean_window,,val,6,ask,price,0.0143034569919109,0.1175212860107421,0.0471398048102855
train_mean_window,train_mean_window,,val,6,bid,volume,0.4774816334247589,0.6133467555046082,0.4932152032852173
train_mean_window,train_mean_window,,val,6,ask,volume,0.5083641409873962,0.6214962005615234,0.2217974960803985
train_mean_window,train_mean_window,,val,7,bid,price,0.0142862293869256,0.1171720549464225,0.0463921315968036
train_mean_window,train_mean_window,,val,7,ask,price,0.0142992064356803,0.1175076961517334,0.0471849963068962
train_mean_window,train_mean_window,,val,7,bid,volume,0.7743721604347229,0.7778989672660828,0.5167690515518188
train_mean_window,train_mean_window,,val,7,ask,volume,1.7251949310302734,1.1247273683547974,0.4398956298828125
train_mean_window,train_mean_window,,val,8,bid,price,0.0142906317487359,0.1171856671571731,0.0463470183312892
train_mean_window,train_mean_window,,val,8,ask,price,0.0142949903383851,0.1174942404031753,0.0472302325069904
train_mean_window,train_mean_window,,val,8,bid,volume,0.7483433485031128,0.7180907726287842,0.4353968799114227
train_mean_window,train_mean_window,,val,8,ask,volume,1.3917211294174194,1.002009630203247,0.3846855759620666
train_mean_window,train_mean_window,,val,9,bid,price,0.0142949689179658,0.1171989738941192,0.0463017672300338
train_mean_window,train_mean_window,,val,9,ask,price,0.014290852472186,0.1174810901284217,0.0472755916416645
train_mean_window,train_mean_window,,val,9,bid,volume,1.259410381317139,0.9325861930847168,0.4567574858665466
train_mean_window,train_mean_window,,val,9,ask,volume,2.0184080600738525,1.1860432624816897,0.5358620285987854
train_mean_window,train_mean_window,,val,10,bid,price,0.0142992530018091,0.1172120347619056,0.0462563969194889
train_mean_window,train_mean_window,,val,10,ask,price,0.0142866214737296,0.1174675300717353,0.0473207682371139
train_mean_window,train_mean_window,,val,10,bid,volume,0.9244225025177002,0.7349780201911926,0.3109126389026642
train_mean_window,train_mean_window,,val,10,ask,volume,6.349180221557617,1.8495358228683472,0.6676003336906433
train_mean_window,train_mean_window,,test,1,bid,price,0.0084103178232908,0.0805381312966346,0.0072531765326857
train_mean_window,train_mean_window,,test,1,ask,price,0.0089309699833393,0.0841247662901878,0.0075856549665331
train_mean_window,train_mean_window,,test,1,bid,volume,0.2833022475242615,0.5089174509048462,0.6839326024055481
train_mean_window,train_mean_window,,test,1,ask,volume,0.9282513856887816,0.8861417770385742,0.2963450849056244
train_mean_window,train_mean_window,,test,2,bid,price,0.0136505719274282,0.1162260323762893,0.0462679415941238
train_mean_window,train_mean_window,,test,2,ask,price,0.0138216316699981,0.1169787049293518,0.0467203631997108
train_mean_window,train_mean_window,,test,2,bid,volume,0.5654538869857788,0.7417733073234558,1.3481141328811646
train_mean_window,train_mean_window,,test,2,ask,volume,1.2144381999969482,0.8988274335861206,0.2551845610141754
train_mean_window,train_mean_window,,test,3,bid,price,0.0136537300422787,0.1162382885813713,0.0462227165699005
train_mean_window,train_mean_window,,test,3,ask,price,0.0138183329254388,0.1169658824801445,0.0467656515538692
train_mean_window,train_mean_window,,test,3,bid,volume,0.6604211330413818,0.7976444959640503,1.4202154874801636
train_mean_window,train_mean_window,,test,3,ask,volume,1.552340030670166,0.9566349983215332,0.2887892723083496
train_mean_window,train_mean_window,,test,4,bid,price,0.0136568220332264,0.1162502542138099,0.0461773723363876
train_mean_window,train_mean_window,,test,4,ask,price,0.0138150043785572,0.1169529184699058,0.0468108803033828
train_mean_window,train_mean_window,,test,4,bid,volume,0.6023588180541992,0.7481043934822083,1.1826173067092896
train_mean_window,train_mean_window,,test,4,ask,volume,2.009965658187866,1.104567289352417,0.35439133644104
train_mean_window,train_mean_window,,test,5,bid,price,0.0136599745601415,0.1162624731659889,0.0461321100592613
train_mean_window,train_mean_window,,test,5,ask,price,0.0138117391616106,0.1169402077794075,0.0468561947345733
train_mean_window,train_mean_window,,test,5,bid,volume,0.2979591488838196,0.4770869612693786,0.6302307844161987
train_mean_window,train_mean_window,,test,5,ask,volume,2.804219007492065,1.4252582788467407,0.4643385112285614
train_mean_window,train_mean_window,,test,6,bid,price,0.0136631438508629,0.1162747666239738,0.0460868738591671
train_mean_window,train_mean_window,,test,6,ask,price,0.0138084692880511,0.1169274821877479,0.0469014942646026
train_mean_window,train_mean_window,,test,6,bid,volume,0.3296457231044769,0.4927931725978851,0.396304577589035
