model,model_variant,latent_dim,split,normalized_mse,normalized_mae,original_rmse,original_mae,relative_mse_vs_train_mean,relative_mse_vs_last_snapshot,compression_ratio,num_parameters,train_seconds,inference_ms_per_1000_samples
train_mean_window,train_mean_window,,train,1.0,0.48327311873435974,0.6807325482368469,0.3045845627784729,1.0,0.8413017529058812,,0,0.0,7.30065535598052
train_mean_window,train_mean_window,,val,0.577896773815155,0.46621355414390564,0.4472811222076416,0.270443856716156,1.0,1.5753812831750382,,0,0.0,5.695805836391325
train_mean_window,train_mean_window,,test,1.0436913967132568,0.612068772315979,0.5864711403846741,0.3535067141056061,1.0,1.575030056493435,,0,0.0,4.951613771630649
last_snapshot_repeat,last_snapshot_repeat@40,40.0,train,1.1886341571807861,0.3460719585418701,0.5993970036506653,0.19956891238689423,1.1886341571807861,1.0,100.0,0,0.0,8.186016608046234
last_snapshot_repeat,last_snapshot_repeat@40,40.0,val,0.3668297827243805,0.23529942333698273,0.29081183671951294,0.12111678719520569,0.6347669676413766,1.0,100.0,0,0.0,5.692659991230661
last_snapshot_repeat,last_snapshot_repeat@40,40.0,test,0.6626485586166382,0.35627415776252747,0.364991158246994,0.17014442384243011,0.6349085186516047,1.0,100.0,0,0.0,5.9276666680904855
pca,pca@8,8.0,train,0.36214470863342285,0.3119475841522217,0.40567827224731445,0.19014427065849304,0.36214470863342285,0.3046729781788882,500.0,32000,0.13654472200141754,12.402116964429817
pca,pca@8,8.0,val,0.34568551182746887,0.32555678486824036,0.3253917992115021,0.1843874752521515,0.5981786497012685,0.9423594487342962,500.0,32000,0.13654472200141754,14.720560005419731
pca,pca@8,8.0,test,0.5158528685569763,0.45930445194244385,0.3936343193054199,0.2442840188741684,0.49425804426622233,0.7784712753829628,500.0,32000,0.13654472200141754,14.051791418649577
pca,pca@16,16.0,train,0.2686074674129486,0.24848365783691406,0.34724321961402893,0.152513325214386,0.2686074674129486,0.225979933178123,250.0,64000,0.1425063109927578,17.55472410617845
pca,pca@16,16.0,val,0.26217949390411377,0.2850087881088257,0.31372857093811035,0.1691354215145111,0.45367876372324933,0.7147170329435976,250.0,64000,0.1425063109927578,12.666549167382376
pca,pca@16,16.0,test,0.37060290575027466,0.3596436381340027,0.328157901763916,0.1909542679786682,0.355088589325695,0.5592752009058235,250.0,64000,0.1425063109927578,8.801578852778372
pca,pca@32,32.0,train,0.19492579996585846,0.20099450647830963,0.28667110204696655,0.1233881488442421,0.19492579996585846,0.16399141719785787,125.0,128000,0.1310988780023763,11.707479643519036
pca,pca@32,32.0,val,0.17908260226249695,0.23531116545200348,0.27879562973976135,0.14404498040676117,0.30988683511802745,0.4881899199472896,125.0,128000,0.1310988780023763,16.329630840724956
pca,pca@32,32.0,test,0.29241007566452026,0.31480473279953003,0.3038676083087921,0.1712971329689026,0.28016909652160027,0.4412747479221307,125.0,128000,0.1310988780023763,12.28698901959905
pca,pca@64,64.0,train,0.13236266374588013,0.16164182126522064,0.24073335528373718,0.09761156141757965,0.13236266374588013,0.11135694102870067,62.5,256000,0.18044922800618224,12.823237144142956
pca,pca@64,64.0,val,0.1402275413274765,0.2038552314043045,0.25075140595436096,0.12676580250263214,0.2426515386160114,0.3822686922692894,62.5,256000,0.18044922800618224,11.560736663038066
pca,pca@64,64.0,test,0.24576574563980103,0.279826819896698,0.2765948474407196,0.1508338302373886,0.235477408756798,0.37088399641714725,62.5,256000,0.18044922800618224,11.505023948104675
