model,model_variant,latent_dim,split,timestep,normalized_mse,normalized_mae
train_mean_window,train_mean_window,,train,0,1.0,0.5250920653343201
train_mean_window,train_mean_window,,train,1,0.9999999403953552,0.5288687944412231
train_mean_window,train_mean_window,,train,2,1.0,0.525105893611908
train_mean_window,train_mean_window,,train,3,1.0,0.5329134464263916
train_mean_window,train_mean_window,,train,4,0.9999999403953552,0.5251075029373169
train_mean_window,train_mean_window,,train,5,1.0,0.5288837552070618
train_mean_window,train_mean_window,,train,6,1.0,0.5251193046569824
train_mean_window,train_mean_window,,train,7,1.0,0.5329267978668213
train_mean_window,train_mean_window,,train,8,1.0,0.5251222252845764
train_mean_window,train_mean_window,,train,9,1.0,0.5288990139961243
train_mean_window,train_mean_window,,train,10,0.9999999403953552,0.5251337885856628
train_mean_window,train_mean_window,,train,11,1.0,0.532940685749054
train_mean_window,train_mean_window,,train,12,1.0,0.5251365303993225
train_mean_window,train_mean_window,,train,13,1.0,0.5289137363433838
train_mean_window,train_mean_window,,train,14,1.0,0.5251504182815552
train_mean_window,train_mean_window,,train,15,1.0,0.5329572558403015
train_mean_window,train_mean_window,,train,16,1.0,0.5251528024673462
train_mean_window,train_mean_window,,train,17,1.0,0.5289298892021179
train_mean_window,train_mean_window,,train,18,1.0000001192092896,0.5251656174659729
train_mean_window,train_mean_window,,train,19,1.0,0.5329722166061401
train_mean_window,train_mean_window,,train,20,1.0,0.5251680612564087
train_mean_window,train_mean_window,,train,21,1.0,0.5289449691772461
train_mean_window,train_mean_window,,train,22,1.0,0.525180459022522
train_mean_window,train_mean_window,,train,23,1.0,0.5329871773719788
train_mean_window,train_mean_window,,train,24,1.0,0.5251814723014832
train_mean_window,train_mean_window,,train,25,1.0,0.5289586186408997
train_mean_window,train_mean_window,,train,26,1.0,0.5251940488815308
train_mean_window,train_mean_window,,train,27,1.0,0.5330004096031189
train_mean_window,train_mean_window,,train,28,1.0,0.5251950025558472
train_mean_window,train_mean_window,,train,29,1.0,0.5289719104766846
train_mean_window,train_mean_window,,train,30,1.0,0.5252076387405396
train_mean_window,train_mean_window,,train,31,0.9999999403953552,0.5330131649971008
train_mean_window,train_mean_window,,train,32,1.0,0.5252090096473694
train_mean_window,train_mean_window,,train,33,1.0000001192092896,0.5289950370788574
train_mean_window,train_mean_window,,train,34,1.0,0.5252332091331482
train_mean_window,train_mean_window,,train,35,1.0,0.5330390334129333
train_mean_window,train_mean_window,,train,36,1.0,0.5252314209938049
train_mean_window,train_mean_window,,train,37,1.0,0.5290180444717407
train_mean_window,train_mean_window,,train,38,1.0,0.5252548456192017
train_mean_window,train_mean_window,,train,39,1.0,0.5330618023872375
train_mean_window,train_mean_window,,train,40,1.0,0.5252528190612793
train_mean_window,train_mean_window,,train,41,1.0,0.5290415287017822
train_mean_window,train_mean_window,,train,42,1.0,0.5252789258956909
train_mean_window,train_mean_window,,train,43,1.0,0.5330867171287537
train_mean_window,train_mean_window,,train,44,1.0,0.5252780318260193
train_mean_window,train_mean_window,,train,45,1.0,0.5290667414665222
train_mean_window,train_mean_window,,train,46,1.0,0.5253046154975891
train_mean_window,train_mean_window,,train,47,1.0,0.533114492893219
train_mean_window,train_mean_window,,train,48,1.0,0.525305986404419
train_mean_window,train_mean_window,,train,49,1.0,0.5290954113006592
train_mean_window,train_mean_window,,train,50,1.0,0.5253328680992126
train_mean_window,train_mean_window,,train,51,1.0,0.533142626285553
train_mean_window,train_mean_window,,train,52,1.0,0.5253336429595947
train_mean_window,train_mean_window,,train,53,1.0,0.5291229486465454
train_mean_window,train_mean_window,,train,54,1.0,0.525360643863678
train_mean_window,train_mean_window,,train,55,1.0,0.5331704616546631
train_mean_window,train_mean_window,,train,56,1.0,0.5253608226776123
train_mean_window,train_mean_window,,train,57,1.0,0.5291504859924316
train_mean_window,train_mean_window,,train,58,1.0,0.5253885984420776
train_mean_window,train_mean_window,,train,59,1.0,0.5331991910934448
train_mean_window,train_mean_window,,train,60,1.0,0.5253888368606567
train_mean_window,train_mean_window,,train,61,1.0,0.5291792750358582
train_mean_window,train_mean_window,,train,62,1.0,0.5254175066947937
train_mean_window,train_mean_window,,train,63,1.0,0.5332285761833191
train_mean_window,train_mean_window,,train,64,1.0,0.5254178047180176
train_mean_window,train_mean_window,,train,65,1.0,0.5292072892189026
train_mean_window,train_mean_window,,train,66,1.0,0.5254458785057068
train_mean_window,train_mean_window,,train,67,1.0,0.5332569479942322
train_mean_window,train_mean_window,,train,68,1.0,0.5254456400871277
train_mean_window,train_mean_window,,train,69,1.0,0.5292355418205261
train_mean_window,train_mean_window,,train,70,1.0,0.525476336479187
train_mean_window,train_mean_window,,train,71,1.0,0.5332869291305542
train_mean_window,train_mean_window,,train,72,1.0,0.5254746079444885
train_mean_window,train_mean_window,,train,73,1.0,0.5292646288871765
train_mean_window,train_mean_window,,train,74,0.9999999403953552,0.5255054235458374
train_mean_window,train_mean_window,,train,75,1.0,0.5333150029182434
train_mean_window,train_mean_window,,train,76,1.0,0.52549809217453
train_mean_window,train_mean_window,,train,77,0.9999999403953552,0.5292900800704956
train_mean_window,train_mean_window,,train,78,1.0,0.5255228877067566
train_mean_window,train_mean_window,,train,79,1.0,0.5333216190338135
train_mean_window,train_mean_window,,train,80,1.0,0.5255046486854553
train_mean_window,train_mean_window,,train,81,1.0,0.5292963981628418
train_mean_window,train_mean_window,,train,82,1.0,0.5255295038223267
train_mean_window,train_mean_window,,train,83,1.0000001192092896,0.5333271622657776
train_mean_window,train_mean_window,,train,84,1.0,0.5255158543586731
train_mean_window,train_mean_window,,train,85,1.0,0.5293073654174805
train_mean_window,train_mean_window,,train,86,1.0,0.5255481600761414
train_mean_window,train_mean_window,,train,87,0.9999999403953552,0.5333447456359863
train_mean_window,train_mean_window,,train,88,1.0000001192092896,0.5255352258682251
train_mean_window,train_mean_window,,train,89,1.0,0.5293266177177429
train_mean_window,train_mean_window,,train,90,1.0,0.5255679488182068
train_mean_window,train_mean_window,,train,91,1.0,0.5333625674247742
train_mean_window,train_mean_window,,train,92,1.0,0.5255541205406189
train_mean_window,train_mean_window,,train,93,1.0,0.5293459892272949
train_mean_window,train_mean_window,,train,94,1.0,0.5255869626998901
train_mean_window,train_mean_window,,train,95,1.0,0.5333809852600098
train_mean_window,train_mean_window,,train,96,1.0,0.5255721807479858
train_mean_window,train_mean_window,,train,97,1.0,0.5293633937835693
train_mean_window,train_mean_window,,train,98,1.0,0.525606632232666
train_mean_window,train_mean_window,,train,99,1.0,0.5334002375602722
train_mean_window,train_mean_window,,val,0,2.5305047035217285,0.9195906519889832
train_mean_window,train_mean_window,,val,1,2.548039674758911,0.9252701997756958
train_mean_window,train_mean_window,,val,2,2.4926469326019287,0.9151635766029358
train_mean_window,train_mean_window,,val,3,2.528219699859619,0.93170166015625
train_mean_window,train_mean_window,,val,4,2.532294988632202,0.9199446439743042
train_mean_window,train_mean_window,,val,5,2.549940347671509,0.9256409406661987
train_mean_window,train_mean_window,,val,6,2.4944844245910645,0.9155216217041016
train_mean_window,train_mean_window,,val,7,2.530060291290283,0.9320670366287231
train_mean_window,train_mean_window,,val,8,2.534123659133911,0.9203014969825745
train_mean_window,train_mean_window,,val,9,2.5517971515655518,0.9260024428367615
train_mean_window,train_mean_window,,val,10,2.496305227279663,0.9158773422241211
train_mean_window,train_mean_window,,val,11,2.5318996906280518,0.9324521422386169
train_mean_window,train_mean_window,,val,12,2.5360653400421143,0.9206823706626892
train_mean_window,train_mean_window,,val,13,2.553757429122925,0.926388680934906
train_mean_window,train_mean_window,,val,14,2.4982311725616455,0.9162552356719971
train_mean_window,train_mean_window,,val,15,2.5338151454925537,0.9328362345695496
train_mean_window,train_mean_window,,val,16,2.5380022525787354,0.9210633039474487
train_mean_window,train_mean_window,,val,17,2.555704116821289,0.9267649054527283
train_mean_window,train_mean_window,,val,18,2.5006916522979736,0.9167245030403137
train_mean_window,train_mean_window,,val,19,2.536268472671509,0.9332975149154663
train_mean_window,train_mean_window,,val,20,2.5403614044189453,0.9215128421783447
train_mean_window,train_mean_window,,val,21,2.55810809135437,0.9272234439849854
train_mean_window,train_mean_window,,val,22,2.5030484199523926,0.9171707630157471
train_mean_window,train_mean_window,,val,23,2.5387282371520996,0.9337590932846069
train_mean_window,train_mean_window,,val,24,2.542760133743286,0.9219689965248108
train_mean_window,train_mean_window,,val,25,2.5605506896972656,0.9276891350746155
train_mean_window,train_mean_window,,val,26,2.5054502487182617,0.9176279306411743
train_mean_window,train_mean_window,,val,27,2.541346311569214,0.9342541694641113
train_mean_window,train_mean_window,,val,28,2.5452842712402344,0.9224526286125183
train_mean_window,train_mean_window,,val,29,2.5631558895111084,0.9281758069992065
