split,prediction_model,reconstruction_variant,diagnostic_name,quantile_bin,n_samples,accuracy,macro_f1,balanced_accuracy,mcc,mean_confidence,mean_proba_true,opposite_direction_rate,directional_accuracy_non_neutral,true_down_count,true_neutral_count,true_up_count
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,Q1,288,0.5069444444444444,0.3946412894732713,0.4027393753200205,0.07288132892297161,0.8834498554680361,0.493518634631118,0.12745098039215685,0.27450980392156865,42,186,60
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,Q2,288,0.4097222222222222,0.3592014592257677,0.3708304046942151,0.03923366405640168,0.9073244313093451,0.41859856593394945,0.21739130434782608,0.3217391304347826,57,173,58
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,Q3,288,0.53125,0.43954212621152733,0.45494501697859907,0.15858677479777394,0.9289169293196333,0.5101467470318721,0.18181818181818182,0.3939393939393939,67,189,32
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,Q4,288,0.4826388888888889,0.38628836088923174,0.40513861854068045,0.11422025582307109,0.9388684020626942,0.47431062238992244,0.26595744680851063,0.3404255319148936,39,194,55
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,Q1,288,0.4409722222222222,0.3425768454388319,0.365961290961291,-0.00015630036199351563,0.8869206341544,0.4403768953476395,0.13978494623655913,0.26881720430107525,37,195,56
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,Q2,288,0.4930555555555556,0.41472326648539104,0.4268026720244535,0.126514438532693,0.908025114866339,0.4854729093264781,0.18867924528301888,0.3584905660377358,59,182,47
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,Q3,288,0.5277777777777778,0.4236382473126976,0.43667140205935945,0.14612496104350764,0.9237454016222529,0.5172145958029054,0.2,0.3473684210526316,46,193,49
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,Q4,288,0.46875,0.4041241789021461,0.4127198878186153,0.12038954207221089,0.939868467516717,0.4535101695098389,0.25,0.3448275862068966,63,172,53
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,Q1,288,0.6284722222222222,0.3989887554315992,0.4164180164819551,0.1017334908197688,0.9409145967532808,0.6260538543759346,0.10344827586206896,0.27586206896551724,34,230,24
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,Q2,288,0.4027777777777778,0.36001256390031466,0.36915049970605524,0.029205754162141707,0.8801884745757023,0.39658803980981044,0.19047619047619047,0.30952380952380953,56,162,70
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,Q3,288,0.4513888888888889,0.40505047513545156,0.41815904997444714,0.11627445739052256,0.917337538194088,0.4466249629288698,0.22131147540983606,0.3770491803278688,63,166,59
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,Q4,288,0.4479166666666667,0.380015365583495,0.39464882943143814,0.07995128086855675,0.9201190086366375,0.4273077128722471,0.23076923076923078,0.33653846153846156,52,184,52
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,Q1,288,0.5590277777777778,0.36171414338782265,0.37171253822629974,0.06422496380358514,0.9106205584281888,0.5565736622999733,0.2,0.22857142857142856,40,218,30
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,Q2,288,0.5173611111111112,0.41312771177223384,0.43516132989817197,0.12065421877138768,0.9220239951501643,0.5004222289221253,0.15555555555555556,0.35555555555555557,38,198,52
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,Q3,288,0.4201388888888889,0.3643634143634144,0.3857200090465575,0.053856716901704196,0.9135124303543078,0.4147673737920703,0.19626168224299065,0.35514018691588783,57,181,50
test,logistic_regression,last_snapshot_repeat@40,midprice_mae,Q4,288,0.4340277777777778,0.4038363262022607,0.40581235800886245,0.103761538882074,0.9124026342270481,0.42481130497269315,0.22377622377622378,0.34965034965034963,70,145,73
test,logistic_regression,last_snapshot_repeat@40,top1_volume_sum_mae,Q1,288,0.4652777777777778,0.3730804459039832,0.39014619883040935,0.05084679961464267,0.9085491496350806,0.4612975340967367,0.1326530612244898,0.3163265306122449,50,190,48
test,logistic_regression,last_snapshot_repeat@40,top1_volume_sum_mae,Q2,288,0.4722222222222222,0.39219929771860035,0.4126272798970327,0.08448257399359901,0.9038329273371473,0.46530096804786475,0.17,0.34,41,188,59
test,logistic_regression,last_snapshot_repeat@40,top1_volume_sum_mae,Q3,288,0.4791666666666667,0.4015936865494387,0.4106750515648821,0.1073649631159007,0.9113372008653519,0.47683383981298305,0.21621621621621623,0.32432432432432434,63,177,48
test,logistic_regression,last_snapshot_repeat@40,top1_volume_sum_mae,Q4,288,0.5138888888888888,0.4188474188474188,0.4322756981580511,0.15743117591022962,0.9348403403221295,0.4931422280292775,0.26732673267326734,0.3465346534653465,51,187,50
test,logistic_regression,mlp_ae@16,normalized_mse,Q1,288,0.40625,0.3600394524295918,0.3685010970797902,0.018132050439471296,0.8713503778222993,0.4053567363299717,0.14285714285714285,0.30158730158730157,57,162,69
test,logistic_regression,mlp_ae@16,normalized_mse,Q2,288,0.4861111111111111,0.4086065522930544,0.4328053172923396,0.11622173270953957,0.9033414693067314,0.4652290880765924,0.16494845360824742,0.38144329896907214,50,191,47
test,logistic_regression,mlp_ae@16,normalized_mse,Q3,288,0.4930555555555556,0.4164924270064457,0.41929212762546103,0.14272958561905796,0.941510951024521,0.4915230436074489,0.25833333333333336,0.325,66,168,54
test,logistic_regression,mlp_ae@16,normalized_mse,Q4,288,0.5451388888888888,0.3846706265310917,0.4202865761689291,0.12230618123401568,0.9423568200061572,0.534465701972849,0.23880597014925373,0.3283582089552239,32,221,35
test,logistic_regression,mlp_ae@16,top_of_book_mse,Q1,288,0.4375,0.38312924922520813,0.4088968070560229,0.0716668254680033,0.8734211147709932,0.43398957780283115,0.16363636363636364,0.35454545454545455,47,178,63
test,logistic_regression,mlp_ae@16,top_of_book_mse,Q2,288,0.5069444444444444,0.4115232299816478,0.41024468826192967,0.11328138828302907,0.9121176384624449,0.48999379261855125,0.14035087719298245,0.30701754385964913,66,174,48
test,logistic_regression,mlp_ae@16,top_of_book_mse,Q3,288,0.5034722222222222,0.35625319093333613,0.3690240012447972,0.0654229543295423,0.9288080164980472,0.5024914075587594,0.26582278481012656,0.25316455696202533,41,209,38
test,logistic_regression,mlp_ae@16,top_of_book_mse,Q4,288,0.4826388888888889,0.42009158894432014,0.4403085359373952,0.15012470706103515,0.9442128484282237,0.47009979200672014,0.24299065420560748,0.3925233644859813,51,181,56
