split,prediction_model,reconstruction_variant,diagnostic_name,failure_mode,n_failure,n_reference,failure_median,reference_median,median_delta,median_ratio,cliffs_delta
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,incorrect_vs_correct,596,556,0.6995905935764313,0.8124099373817444,-0.11281934380531311,0.8611300297865506,-0.015625754430013038
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,opposite_direction_vs_not,81,1071,0.8195552825927734,0.737138569355011,0.08241671323776245,1.1118062690843544,0.11973349010386047
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,low_confidence_vs_high_confidence,288,288,0.5037427246570587,1.1148573160171509,-0.6111145913600922,0.4518450185685548,-0.34792148919753085
test,logistic_regression,last_snapshot_repeat@40,normalized_mse,non_neutral_missed_vs_detected,193,217,0.547881543636322,0.8131533861160278,-0.2652718424797058,0.6737739189075276,-0.18206346553329672
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,incorrect_vs_correct,596,556,0.4028019607067108,0.42379805445671076,-0.020996093749999944,0.950457314446816,-0.03180073390951668
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,opposite_direction_vs_not,81,1071,0.5451909303665161,0.4052121043205261,0.13997882604599,1.3454458160392602,0.17155998201749836
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,low_confidence_vs_high_confidence,288,288,0.3526744097471237,0.5713605880737305,-0.21868617832660675,0.6172536522620866,-0.3325617283950617
test,logistic_regression,last_snapshot_repeat@40,top_of_book_mse,non_neutral_missed_vs_detected,193,217,0.3946536183357239,0.4618891477584839,-0.06723552942276001,0.8544336238488187,-0.15059334781882
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,incorrect_vs_correct,596,556,0.0,0.0,0.0,,0.0
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,opposite_direction_vs_not,81,1071,0.0,0.0,0.0,,0.0
test,logistic_regression,last_snapshot_repeat@40,last_step_mse,low_confidence_vs_high_confidence,288,288,0.0,0.0,0.0,,0.0
