representation_model,representation_variant,latent_dim,compression_ratio,head_model,head_C,head_class_weight,selected_by,split,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,weighted_f1,non_neutral_recall,non_neutral_precision,directional_accuracy_non_neutral,up_down_macro_f1,opposite_direction_rate
last_snapshot_repeat,last_snapshot_repeat@40,40,100.0,logistic_regression,10.0,balanced,val_macro_f1_tie_mcc_log_loss,train,0.5432142857142858,0.6168933206123183,0.5215595767085066,0.3441839126298704,0.9204692205471648,0.561708065797906,0.8613707165109035,0.4575289575289575,0.6931464174454829,0.7435328389401084,0.16822429906542055
last_snapshot_repeat,last_snapshot_repeat@40,40,100.0,logistic_regression,10.0,balanced,val_macro_f1_tie_mcc_log_loss,val,0.6816666666666666,0.5855007268722395,0.5427810913509373,0.3368218516211011,0.7340703003345784,0.6998820637315624,0.639344262295082,0.45990566037735847,0.49836065573770494,0.6056525433238751,0.14098360655737704
last_snapshot_repeat,last_snapshot_repeat@40,40,100.0,logistic_regression,10.0,balanced,val_macro_f1_tie_mcc_log_loss,test,0.4392361111111111,0.5509280564503758,0.43553963155392905,0.2579222852489748,1.0742701653417326,0.44427411116365767,0.8926829268292683,0.41733181299885974,0.6707317073170732,0.7069575471698113,0.22195121951219512
mlp_ae,mlp_ae@16,16,250.0,logistic_regression,0.1,balanced,val_macro_f1_tie_mcc_log_loss,train,0.4744642857142857,0.41375939995278715,0.393574575286898,0.1308778690030996,1.048567019225126,0.5070436090804674,0.660436137071651,0.42900505902192243,0.3509865005192108,0.42219926312521505,0.3094496365524403
mlp_ae,mlp_ae@16,16,250.0,logistic_regression,0.1,balanced,val_macro_f1_tie_mcc_log_loss,val,0.7291666666666666,0.44274859175550035,0.4394155196210397,0.27255816989471005,0.8509234739146287,0.7034862818067154,0.4491803278688525,0.6088888888888889,0.22295081967213115,0.2783092562867844,0.2262295081967213
mlp_ae,mlp_ae@16,16,250.0,logistic_regression,0.1,balanced,val_macro_f1_tie_mcc_log_loss,test,0.4123263888888889,0.38755067604584403,0.3603144433815509,0.10867430080308128,1.0494568009331726,0.45448724567124454,0.7707317073170732,0.4322845417236662,0.36097560975609755,0.40705167173252277,0.4097560975609756
mlp_ae,mlp_ae@32,32,125.0,logistic_regression,0.01,balanced,val_macro_f1_tie_mcc_log_loss,train,0.5,0.4376379124216205,0.41613052568618886,0.16544304493656115,1.0369718837387114,0.530391415970186,0.6744548286604362,0.4491701244813278,0.37331256490134995,0.44519370976409306,0.3011422637590862
mlp_ae,mlp_ae@32,32,125.0,logistic_regression,0.01,balanced,val_macro_f1_tie_mcc_log_loss,val,0.6366666666666667,0.44622528948456014,0.4289501570933138,0.1982041317143471,0.8932607236965445,0.6498453161979824,0.5245901639344263,0.4166666666666667,0.30491803278688523,0.37199162888036275,0.21967213114754097
mlp_ae,mlp_ae@32,32,125.0,logistic_regression,0.01,balanced,val_macro_f1_tie_mcc_log_loss,test,0.3932291666666667,0.38590493721648805,0.3526281806029181,0.10026883300401894,1.1026971829551724,0.4343307805110588,0.7829268292682927,0.4196078431372549,0.3780487804878049,0.4230319651126197,0.40487804878048783
mlp_ae,mlp_ae@64,64,62.5,logistic_regression,1.0,balanced,val_macro_f1_tie_mcc_log_loss,train,0.5160714285714286,0.47516814681809344,0.4434280855002848,0.21424296590726166,1.0022255894861356,0.5480391419944127,0.7377985462097612,0.4675880223757815,0.43302180685358255,0.4974801336108548,0.3047767393561786
