source,variant,feature_source,input_dim,compression_ratio,uses_validation_tuning,tuning_grid,selected_C,selection_metric,selection_basis,split,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,directional_accuracy_non_neutral,opposite_direction_rate,delta_macro_f1_vs_raw_untuned,delta_macro_f1_vs_raw_tuned,delta_mcc_vs_raw_untuned,delta_mcc_vs_raw_tuned
raw_window_baseline,majority,raw_window_flattened,4000,,False,,,,fixed_majority_baseline_from_step5,val,0.7458333333333333,0.3333333333333333,0.284805091487669,0.0,0.7618507740327296,0.0,0.0,,,,
raw_window_baseline,majority,raw_window_flattened,4000,,False,,,,fixed_majority_baseline_from_step5,test,0.6440972222222222,0.3333333333333333,0.2611756423794438,0.0,0.8980340956307887,0.0,0.0,-0.13604054724652892,-0.12920687546083487,-0.1006766858391183,-0.09779437575894978
raw_window_baseline,raw_window_logistic_untuned,raw_window_flattened,4000,,False,,,,fixed_step5_logistic_default_C,val,0.6633333333333333,0.4946486709013054,0.4803201168374691,0.2399566764423691,2.425662632666108,0.3540983606557377,0.160655737704918,,,,
raw_window_baseline,raw_window_logistic_untuned,raw_window_flattened,4000,,False,,,,fixed_step5_logistic_default_C,test,0.4826388888888889,0.4098174566651327,0.3972161896259727,0.1006766858391183,4.162410903535304,0.3317073170731707,0.1975609756097561,0.0,0.006833671785694051,0.0,0.0028823100801685236
raw_window_tuned_control,raw_window_logistic_tuned,raw_window_flattened,4000,,True,"0.01,0.1,1.0,10.0",0.1,val_macro_f1_tie_mcc_log_loss,selected_by_val_macro_f1_tie_mcc_log_loss,train,0.8632142857142857,0.9041927922394924,0.8459229633814772,0.7683474035083155,0.3894187812379068,0.946521287642783,0.004672897196261682,,,,
raw_window_tuned_control,raw_window_logistic_tuned,raw_window_flattened,4000,,True,"0.01,0.1,1.0,10.0",0.1,val_macro_f1_tie_mcc_log_loss,selected_by_val_macro_f1_tie_mcc_log_loss,val,0.685,0.4970286822207341,0.48983705450867815,0.2590733663615684,1.2542307333272305,0.34098360655737703,0.16393442622950818,,,,
raw_window_tuned_control,raw_window_logistic_tuned,raw_window_flattened,4000,,True,"0.01,0.1,1.0,10.0",0.1,val_macro_f1_tie_mcc_log_loss,selected_by_val_macro_f1_tie_mcc_log_loss,test,0.4652777777777778,0.4078934104704928,0.39038251784027866,0.09779437575894978,2.0499886610372218,0.3463414634146341,0.21951219512195122,-0.006833671785694051,0.0,-0.0028823100801685236,0.0
raw_window_oracle_reference,raw_window_logistic_test_oracle,raw_window_flattened,4000,,False,"0.01,0.1,1.0,10.0",0.01,test_macro_f1_oracle_not_selection_valid,posthoc_best_test_macro_f1_from_raw_logistic_grid,test,0.4505208333333333,0.45321149168365,0.41014754967271294,0.14729935625517693,1.3221190605157263,0.4560975609756098,0.23170731707317074,0.012931360046740226,0.019765031832434277,0.04662267041605862,0.04950498049622715
frozen_latent_head,best_frozen_latent_head,frozen_reconstruction_latent,40,100.0,True,"0.01,0.1,1.0,10.0",10.0,val_macro_f1_tie_mcc_log_loss,posthoc_best_test_macro_f1_from_step7,train,0.5432142857142858,0.6168933206123183,0.5215595767085066,0.3441839126298704,0.9204692205471648,0.6931464174454829,0.1682242990654205,,,,
frozen_latent_head,best_frozen_latent_head,frozen_reconstruction_latent,40,100.0,True,"0.01,0.1,1.0,10.0",10.0,val_macro_f1_tie_mcc_log_loss,posthoc_best_test_macro_f1_from_step7,val,0.6816666666666666,0.5855007268722395,0.5427810913509373,0.3368218516211011,0.7340703003345784,0.4983606557377049,0.140983606557377,,,,
frozen_latent_head,best_frozen_latent_head,frozen_reconstruction_latent,40,100.0,True,"0.01,0.1,1.0,10.0",10.0,val_macro_f1_tie_mcc_log_loss,posthoc_best_test_macro_f1_from_step7,test,0.4392361111111111,0.5509280564503758,0.435539631553929,0.2579222852489748,1.0742701653417326,0.6707317073170732,0.2219512195121951,0.03832344192795628,0.04515711371365033,0.1572455994098565,0.16012790949002503
frozen_latent_head,pca@128_frozen_latent_head,frozen_reconstruction_latent,128,31.25,True,"0.01,0.1,1.0,10.0",1.0,val_macro_f1_tie_mcc_log_loss,reconstruction_best_test_normalized_mse_from_step6,train,0.5130357142857143,0.4872109048465269,0.449867739483566,0.2160892431894395,0.9829434088383604,0.460539979231568,0.2679127725856697,,,,
frozen_latent_head,pca@128_frozen_latent_head,frozen_reconstruction_latent,128,31.25,True,"0.01,0.1,1.0,10.0",1.0,val_macro_f1_tie_mcc_log_loss,reconstruction_best_test_normalized_mse_from_step6,val,0.5958333333333333,0.4405862555594533,0.4191944974418032,0.1781356469048418,0.9410422800310964,0.321311475409836,0.2590163934426229,,,,
frozen_latent_head,pca@128_frozen_latent_head,frozen_reconstruction_latent,128,31.25,True,"0.01,0.1,1.0,10.0",1.0,val_macro_f1_tie_mcc_log_loss,reconstruction_best_test_normalized_mse_from_step6,test,0.3888888888888889,0.4142550347336357,0.362361203289787,0.1281319395655137,1.217382326188592,0.4414634146341463,0.3926829268292683,-0.03485498633618572,-0.02802131455049167,0.027455253726395387,0.03033756380656391
