feature_source,input_dim,C,class_weight,scaler_policy,selection_metric,split,accuracy,balanced_accuracy,macro_f1,mcc,log_loss,weighted_f1,non_neutral_recall,non_neutral_precision,directional_accuracy_non_neutral,up_down_macro_f1,opposite_direction_rate
raw_window_flattened,4000,0.01,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,train,0.7671428571428571,0.8170576635791565,0.7429998009176871,0.6236142839967993,0.6093036030293355,0.7746812163249718,0.9003115264797508,0.62262118491921,0.8686396677050883,0.9141724721194919,0.03167185877466251
raw_window_flattened,4000,0.01,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,val,0.6716666666666666,0.49306127727864707,0.482018618431966,0.24272746919667185,0.8877053450161599,0.6795282306289225,0.49836065573770494,0.4393063583815029,0.3442622950819672,0.4594537654179116,0.1540983606557377
raw_window_flattened,4000,0.01,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,test,0.4505208333333333,0.45321149168365,0.41014754967271294,0.14729935625517693,1.3221190605157263,0.4764638313636413,0.6878048780487804,0.407514450867052,0.4560975609756098,0.5398794575590156,0.23170731707317074
raw_window_flattened,4000,0.1,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,train,0.8632142857142857,0.9041927922394924,0.8459229633814772,0.7683474035083155,0.3894187812379068,0.8664514245338515,0.9511941848390446,0.7342685370741483,0.946521287642783,0.970194909937532,0.004672897196261682
raw_window_flattened,4000,0.1,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,val,0.685,0.4970286822207341,0.48983705450867815,0.2590733663615684,1.2542307333272305,0.6899296983344649,0.5049180327868853,0.4652567975830816,0.34098360655737703,0.45349764545040255,0.16393442622950818
raw_window_flattened,4000,0.1,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,test,0.4652777777777778,0.4078934104704928,0.39038251784027866,0.09779437575894978,2.0499886610372218,0.4879529324237298,0.5658536585365853,0.4,0.3463414634146341,0.4406674125601985,0.21951219512195122
raw_window_flattened,4000,1.0,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,train,0.9455357142857143,0.9628770198020186,0.9359188666798507,0.9000409134569279,0.20480536826439946,0.9461935213457433,0.9807892004153687,0.875753361149745,0.9807892004153687,0.990300769320408,0.0
raw_window_flattened,4000,1.0,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,val,0.6633333333333333,0.49464867090130543,0.48032011683746917,0.23995667644236912,2.425662632666108,0.674586394776238,0.5147540983606558,0.43131868131868134,0.3540983606557377,0.4675324675324675,0.16065573770491803
raw_window_flattened,4000,1.0,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,test,0.4826388888888889,0.4098174566651327,0.39721618962597277,0.10067668583911833,4.162410903535304,0.5010315326594299,0.5292682926829269,0.4025974025974026,0.33170731707317075,0.4327559857361182,0.1975609756097561
raw_window_flattened,4000,10.0,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,train,0.9908928571428571,0.9915380803125299,0.9889019337341769,0.9822485938580834,0.07188629062751387,0.9909084332830599,0.9922118380062306,0.9815100154083205,0.9922118380062306,0.9960862359397924,0.0
raw_window_flattened,4000,10.0,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,val,0.6366666666666667,0.5016522371333306,0.47479805352302956,0.22969076806017782,4.975343157505226,0.6565906011026492,0.5475409836065573,0.4014423076923077,0.38688524590163936,0.49982942813538017,0.16065573770491803
raw_window_flattened,4000,10.0,balanced,train_only_standard_scaler,val_macro_f1_tie_mcc_log_loss,test,0.4574652777777778,0.37443078473911423,0.3656325254038589,0.052443541016254716,8.152515232425268,0.47625296431256864,0.4926829268292683,0.3782771535580524,0.28536585365853656,0.38101655756642283,0.2073170731707317
